timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,elephant
1695751795.4222383,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751795.5382452,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751795.6262743,10.0.0.5,10.0.0.4,1707,15758,17,116,1
1695751795.718318,10.0.0.1,10.0.0.5,47536,5120,6,54,0
1695751795.7984219,10.0.0.1,10.0.0.4,10067,80,6,62,0
1695751795.8862581,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751795.9503293,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751796.0544043,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751796.1263204,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751796.2102857,10.0.0.4,10.0.0.5,80,27133,6,66,0
1695751796.2984693,10.0.0.4,10.0.0.5,80,27133,6,66,0
1695751796.3943713,10.0.0.4,10.0.0.5,80,27133,6,66,0
1695751796.4942276,10.0.0.4,10.0.0.1,53,33443,6,66,0
1695751796.5742884,10.0.0.4,10.0.0.1,53,33443,6,66,0
1695751796.6343782,10.0.0.4,10.0.0.1,53,33443,6,66,0
1695751796.7303836,10.0.0.4,10.0.0.1,53,33443,6,66,0
1695751796.8063147,10.0.0.1,10.0.0.4,80,41253,6,58,0
1695751797.8544118,10.0.0.3,10.0.0.1,49448,443,6,66,0
1695751797.9262924,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751798.999488,10.0.0.3,10.0.0.1,49448,443,6,66,0
1695751799.0943878,10.0.0.3,10.0.0.2,9598,3074,6,54,0
1695751799.2102652,10.0.0.3,10.0.0.2,9598,3074,6,54,0
1695751799.3262572,10.0.0.3,10.0.0.1,19026,23,6,58,0
1695751799.4144838,10.0.0.1,10.0.0.2,20001,42864,17,330,0
1695751799.5223377,10.0.0.3,10.0.0.2,21101,443,6,54,0
1695751799.6063251,10.0.0.3,10.0.0.2,21101,443,6,54,0
1695751799.67442,10.0.0.3,10.0.0.2,21101,443,6,54,0
1695751799.7704003,10.0.0.4,10.0.0.3,779,3478,6,54,0
1695751799.8502822,10.0.0.4,10.0.0.3,779,3478,6,54,0
1695751799.9382768,10.0.0.4,10.0.0.3,779,3478,6,54,0
1695751800.0384588,10.0.0.5,10.0.0.2,55440,8333,6,54,0
1695751801.1223395,10.0.0.2,10.0.0.5,80,39432,6,1514,1
1695751801.1943502,10.0.0.3,10.0.0.2,9598,3074,6,54,0
1695751801.274395,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751801.3383522,10.0.0.4,10.0.0.2,3074,46126,6,66,0
1695751801.4183035,10.0.0.3,10.0.0.2,28716,80,6,62,0
1695751801.498219,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751801.5782263,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751801.6543615,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751801.7423134,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751801.8223956,10.0.0.1,10.0.0.2,3478,3963,6,66,0
1695751801.9263985,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.006217,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.098448,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.2023525,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.278356,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.3544111,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.4383922,10.0.0.4,10.0.0.1,80,56666,17,63,1
1695751802.5301795,10.0.0.1,10.0.0.3,5353,39531,6,58,0
1695751802.6062546,10.0.0.2,10.0.0.4,5353,54383,6,66,0
1695751802.6703937,10.0.0.2,10.0.0.4,5353,54383,6,66,0
1695751802.7503417,10.0.0.2,10.0.0.4,5353,54383,6,66,0
1695751802.8302312,10.0.0.2,10.0.0.4,5353,54383,6,66,0
1695751803.8823626,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751804.954366,10.0.0.3,10.0.0.5,443,4649,6,667,1
1695751806.02224,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751807.0943425,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751808.170255,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751809.270278,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751809.3583415,10.0.0.3,10.0.0.5,443,4649,6,54,1
1695751809.4503767,10.0.0.4,10.0.0.3,11760,80,6,62,0
1695751809.542187,10.0.0.4,10.0.0.3,11760,80,6,54,0
1695751809.626244,10.0.0.2,10.0.0.4,47536,5120,6,54,0
1695751810.6784956,10.0.0.2,10.0.0.5,80,39432,6,1514,1
1695751810.7543406,10.0.0.5,10.0.0.1,4321,23592,6,66,0
1695751810.8543863,10.0.0.5,10.0.0.2,16393,16393,17,407,1
1695751811.926329,10.0.0.4,10.0.0.1,80,55992,6,1514,1
1695751812.990263,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751813.0701826,10.0.0.3,10.0.0.1,443,46041,6,66,0
1695751813.154398,10.0.0.3,10.0.0.1,443,46041,6,66,0
1695751814.222341,10.0.0.3,10.0.0.5,443,38500,6,101,1
1695751814.290296,10.0.0.3,10.0.0.1,443,46041,6,66,0
1695751814.374396,10.0.0.3,10.0.0.1,443,46041,6,66,0
1695751814.4422748,10.0.0.3,10.0.0.1,443,46041,6,66,0
1695751815.5023036,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751816.5872924,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751817.6743205,10.0.0.3,10.0.0.5,5254,443,6,137,1
1695751818.7463496,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751819.8104248,10.0.0.3,10.0.0.5,5254,443,6,237,1
1695751820.8712249,10.0.0.3,10.0.0.5,5254,443,6,54,1
1695751821.9348338,10.0.0.3,10.0.0.5,5254,443,6,137,1
1695751823.0103128,10.0.0.3,10.0.0.5,5254,443,6,170,1
1695751824.0943155,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751824.1983457,10.0.0.3,10.0.0.5,443,38500,6,66,1
1695751824.2662468,10.0.0.5,10.0.0.2,15758,1707,17,180,1
1695751825.3383486,10.0.0.3,10.0.0.5,5254,443,6,54,1
1695751825.4223838,10.0.0.5,10.0.0.2,15758,1707,17,260,1
1695751825.5182562,10.0.0.3,10.0.0.5,5254,443,6,279,1
1695751825.5983572,10.0.0.2,10.0.0.5,53,44930,17,138,0
1695751826.6663625,10.0.0.4,10.0.0.2,80,51184,6,1514,1
1695751826.7623143,10.0.0.1,10.0.0.3,53,58757,6,66,0
1695751826.8341832,10.0.0.1,10.0.0.3,53,58757,6,66,0
1695751826.922218,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.0422566,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.1383138,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.2384,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.3225188,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.4262617,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.5023627,10.0.0.3,10.0.0.2,80,57777,17,63,1
1695751827.5941725,10.0.0.5,10.0.0.2,60283,4321,6,54,0
1695751827.6583729,10.0.0.5,10.0.0.2,60283,4321,6,54,0
1695751828.7262864,10.0.0.4,10.0.0.2,80,51184,6,1514,1
1695751828.850395,10.0.0.1,10.0.0.4,52541,80,6,62,0
1695751828.9384062,10.0.0.5,10.0.0.2,60283,4321,6,54,0
1695751830.002434,10.0.0.4,10.0.0.2,80,51184,6,1514,1
1695751830.0743415,10.0.0.5,10.0.0.2,60283,4321,6,54,0
1695751830.1423419,10.0.0.1,10.0.0.5,8080,59943,6,66,0
1695751830.2222297,10.0.0.1,10.0.0.5,8080,59943,6,66,0
1695751831.3063548,10.0.0.4,10.0.0.2,80,51184,6,1514,1
1695751831.3862784,10.0.0.1,10.0.0.5,8080,59943,6,66,0
1695751831.4743764,10.0.0.1,10.0.0.3,53,58757,6,66,0
1695751831.5581858,10.0.0.1,10.0.0.3,53,58757,6,66,0
1695751832.6223824,10.0.0.4,10.0.0.2,80,51184,6,1514,1
1695751832.7264297,10.0.0.1,10.0.0.3,53,58757,6,66,0
1695751832.8023694,10.0.0.5,10.0.0.2,60283,4321,6,54,0
1695751832.9023764,10.0.0.5,10.0.0.1,4321,23592,6,66,0
1695751832.9983563,10.0.0.1,10.0.0.2,3478,39831,6,66,0
1695751833.098408,10.0.0.1,10.0.0.2,3478,39831,6,66,0
1695751833.1984022,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751833.2744203,10.0.0.5,10.0.0.3,60320,443,6,54,0
1695751833.3423908,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751833.414301,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751833.494384,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751833.5864003,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751833.6663995,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751833.7584064,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751833.8423927,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751833.9103878,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751834.0022972,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751834.0943842,10.0.0.3,10.0.0.5,1935,42463,6,54,1
1695751834.1704237,10.0.0.2,10.0.0.4,40010,60497,17,218,1
1695751834.254259,10.0.0.2,10.0.0.4,40010,60497,17,192,1
1695751834.3223832,10.0.0.2,10.0.0.4,40010,60497,17,184,1
1695751834.4023547,10.0.0.2,10.0.0.4,40010,60497,17,233,1
1695751834.502268,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751834.594273,10.0.0.3,10.0.0.2,20389,434,6,54,0
1695751834.6662645,10.0.0.1,10.0.0.2,993,52910,6,54,0
1695751834.7543442,10.0.0.1,10.0.0.2,29210,53,6,54,0
1695751834.8343613,10.0.0.2,10.0.0.4,40010,60497,17,193,1
1695751834.9102056,10.0.0.5,10.0.0.3,60320,443,6,54,0
1695751834.9902608,10.0.0.5,10.0.0.3,60320,443,6,85,0
1695751835.0583987,10.0.0.5,10.0.0.2,15758,1707,17,468,1
1695751835.1502523,10.0.0.5,10.0.0.4,2632,52492,6,66,0
1695751835.2223713,10.0.0.1,10.0.0.2,3478,39831,6,66,0
1695751835.3063328,10.0.0.1,10.0.0.2,3478,39831,6,66,0
1695751835.3862705,10.0.0.1,10.0.0.2,3478,39831,6,66,0
